"id","l1","l1_name","l2","l2_name","l3","l3_name","l4","l4_name"
"01012100","01000000","GYVI GYVŪNAI","01010000","Gyvi arkliai, asilai, mulai ir arklėnai","01012100","Arkliai",NULL,NULL
"01012990","01000000","GYVI GYVŪNAI","01010000","Gyvi arkliai, asilai, mulai ir arklėnai","01012900","Kiti","01012990","Kiti"
"01012910","01000000","GYVI GYVŪNAI","01010000","Gyvi arkliai, asilai, mulai ir arklėnai","01012900","Kiti","01012910","Skerstini"
"01013000","01000000","GYVI GYVŪNAI","01010000","Gyvi arkliai, asilai, mulai ir arklėnai","01013000","Asilai",NULL,NULL
"01019000","01000000","GYVI GYVŪNAI","01010000","Gyvi arkliai, asilai, mulai ir arklėnai","01019000","Kiti",NULL,NULL
"01022110","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022100","Galvijai","01022110","Telyčios (galvijų patelės iki pirmo veršiavimosi)"
"01022130","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022100","Galvijai","01022130","Karvės"
"01022190","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022100","Galvijai","01022190","Kiti"
"01022921","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022921","Kurių masė didesnė kaip 80 kg, bet ne didesnė kaip 160 kg"
"01022910","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022910","Kiti"
"01022959","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022959","Kitos"
"01022999","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022999","Kiti"
"01022905","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022905","Bibos subgenties arba Poephagus subgenties"
"01022929","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022929","Kiti"
"01022949","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022949","Kiti"
"01022991","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022991","Kiti"
"01022951","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022951","Kurių masė didesnė kaip 300 kg"
"01022961","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022961","Karvės"
"01022969","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022969","Kitos"
"01022941","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01022900","Kiti","01022941","Kurių masė didesnė kaip 160 kg, bet ne didesnė kaip 300 kg"
"01023100","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01023100","Buivolai",NULL,NULL
"01023990","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01023900","Kiti","01023990","Kiti"
"01023910","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01023900","Kiti","01023910","Naminių rūšių"
"01029099","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01029000","Kiti","01029099","Kiti"
"01029091","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01029000","Kiti","01029091","Kiti"
"01029020","01000000","GYVI GYVŪNAI","01020000","Gyvi galvijai","01029000","Kiti","01029020","Grynaveisliai veisliniai gyvuliai"
"01031000","01000000","GYVI GYVŪNAI","01030000","Gyvos kiaulės","01031000","Grynaveisliai veisliniai gyvuliai",NULL,NULL
"01039110","01000000","GYVI GYVŪNAI","01030000","Gyvos kiaulės","01039100","Kitos","01039110","Naminių rūšių"
"01039190","01000000","GYVI GYVŪNAI","01030000","Gyvos kiaulės","01039100","Kitos","01039190","Kitos"
"01039219","01000000","GYVI GYVŪNAI","01030000","Gyvos kiaulės","01039200","Sveriančios ne mažiau kaip 50 kg","01039219","Kitos"
"01039290","01000000","GYVI GYVŪNAI","01030000","Gyvos kiaulės","01039200","Sveriančios ne mažiau kaip 50 kg","01039290","Kitos"
"01039211","01000000","GYVI GYVŪNAI","01030000","Gyvos kiaulės","01039200","Sveriančios ne mažiau kaip 50 kg","01039211","Naminių rūšių"
"01041010","01000000","GYVI GYVŪNAI","01040000","Gyvos avys ir ožkos","01041000","Avys","01041010","Grynaveisliai veisliniai gyvuliai"
"01041030","01000000","GYVI GYVŪNAI","01040000","Gyvos avys ir ožkos","01041000","Avys","01041030","Kitos"
"01041080","01000000","GYVI GYVŪNAI","01040000","Gyvos avys ir ožkos","01041000","Avys","01041080","Kitos"
