"id","sal_pavad","sal_iso2"
"AFG","Afganistano Islamo Respublika","AF"
"IRL","Airija","IE"
"ALB","Albanijos Respublika","AL"
"DZA","Alžyro Liaudies Demokratinė Respublika","DZ"
"AND","Andoros Kunigaikštystė","AD"
"AGO","Angolos Respublika","AO"
"ATG","Antigva ir Barbuda","AG"
"ARG","Argentinos Respublika","AR"
"ARM","Armėnijos Respublika","AM"
"AUS","Australija","AU"
"AUT","Austrijos Respublika","AT"
"AZE","Azerbaidžano Respublika","AZ"
"BHS","Bahamų Sandrauga","BS"
"BHR","Bahreino Karalystė","BH"
"BLR","Baltarusijos Respublika","BY"
"BGD","Bangladešo Liaudies Respublika ","BD"
"BRB","Barbadosas","BB"
"BEL","Belgijos Karalystė","BE"
"BLZ","Belizas","BZ"
"BEN","Benino Respublika","BJ"
"GNB","Bisau Gvinėjos Respublika","GW"
"BOL","Bolivijos Daugiatautė Valstybė","BO"
"BIH","Bosnija ir Hercegovina","BA"
"BWA","Botsvanos Respublika","BW"
"BRA","Brazilijos Federacinė Respublika","BR"
"BRN","Brunėjaus Darusalamas","BN"
"BGR","Bulgarijos Respublika","BG"
"BFA","Burkina Fasas","BF"
"BDI","Burundžio Respublika","BI"
"BTN","Butano Karalystė","BT"
"CAF","Centrinės Afrikos Respublika","CF"
"TCD","Čado Respublika","TD"
"CZE","Čekijos Respublika","CZ"
"CHL","Čilės Respublika","CL"
"DNK","Danijos Karalystė","DK"
"DMA","Dominikos Sandrauga","DM"
"DOM","Dominikos Respublika","DO"
"CIV","Dramblio Kaulo Kranto Respublika","CI"
"DJI","Džibučio Respublika","DJ"
"EGY","Egipto Arabų Respublika","EG"
"ECU","Ekvadoro Respublika","EC"
"ERI","Eritrėjos Valstybė","ER"
"EST","Estijos Respublika","EE"
"SWZ","Esvatinio Karalystė","SZ"
"ETH","Etiopijos Federacinė Demokratinė Respublika","ET"
"FJI","Fidžio Respublika","FJ"
"PHL","Filipinų Respublika","PH"
"GAB","Gabono Respublika","GA"
"GUY","Gajanos Kooperacinė Respublika","GY"
"GMB","Gambijos Respublika","GM"
"GHA","Ganos Respublika","GH"
"GRC","Graikijos Respublika","EL"
"GRD","Grenada","GD"
"GTM","Gvatemalos Respublika","GT"
"GIN","Gvinėjos Respublika","GN"
"HTI","Haičio Respublika","HT"
"HND","Hondūro Respublika","HN"
"IND","Indijos Respublika","IN"
"IDN","Indonezijos Respublika","ID"
"IRQ","Irako Respublika","IQ"
"IRN","Irano Islamo Respublika","IR"
"ISL","Islandija","IS"
"ESP","Ispanijos Karalystė","ES"
"ITA","Italijos Respublika","IT"
"ISR","Izraelio Valstybė","IL"
"JAM","Jamaika","JM"
"JPN","Japonija","JP"
"YEM","Jemeno Respublika","YE"
"JOR","Jordanijos Hašimitų Karalystė","JO"
"GBR","Jungtinė Didžiosios Britanijos ir Šiaurės Airijos Karalystė","UK"
"USA","Jungtinės Amerikos Valstijos","US"
"ARE","Jungtiniai Arabų Emyratai","AE"
"MNE","Juodkalnija","ME"
"KHM","Kambodžos Karalystė","KH"
"CMR","Kamerūno Respublika","CM"
"CAN","Kanada","CA"
"QAT","Kataro Valstybė","QA"
"KAZ","Kazachstano Respublika","KZ"
"KEN","Kenijos Respublika","KE"
"CHN","Kinijos Liaudies Respublika","CN"
"CYP","Kipro Respublika","CY"
"KGZ","Kirgizijos Respublika","KG"
"KIR","Kiribačio Respublika","KI"
"COL","Kolumbijos Respublika","CO"
"COM","Komorų Sąjunga","KM"
"COG","Kongo Respublika","CG"
"COD","Kongo Demokratinė Respublika","CD"
"CRI","Kosta Rikos Respublika","CR"
"HRV","Kroatijos Respublika","HR"
"CUB","Kubos Respublika","CU"
"KWT","Kuveito Valstybė","KW"
"LAO","Laoso Liaudies Demokratinė Respublika","LA"
"LVA","Latvijos Respublika","LV"
"POL","Lenkijos Respublika","PL"
"LSO","Lesoto Karalystė","LS"
"LBN","Libano Respublika","LB"
"LBR","Liberijos Respublika","LR"
"LBY","Libijos Valstybė","LY"
"LIE","Lichtenšteino Kunigaikštystė","LI"
"LTU","Lietuvos Respublika","LT"
"LUX","Liuksemburgo Didžioji Hercogystė","LU"
"MDG","Madagaskaro Demokratinė Respublika","MG"
"MYS","Malaizija","MY"
"MWI","Malavio Respublika","MW"
"MDV","Maldyvų Respublika","MV"
"MLI","Malio Respublika","ML"
"MLT","Maltos Respublika","MT"
"MAR","Maroko Karalystė","MA"
"MHL","Maršalo Salų Respublika","MH"
"MUS","Mauricijaus Respublika","MU"
"MRT","Mauritanijos Islamo Respublika","MR"
"MEX","Meksikos Jungtinės Valstijos","MX"
"MMR","Mianmaro Sąjungos Respublika","MM"
"FSM","Mikronezijos Federacinės Valstijos","FM"
"MDA","Moldovos Respublika","MD"
"MCO","Monako Kunigaikštystė","MC"
"MNG","Mongolija","MN"
"MOZ","Mozambiko Respublika","MZ"
"NAM","Namibijos Respublika","NA"
"NZL","Naujoji Zelandija","NZ"
"NRU","Nauru Respublika","NR"
"NPL","Nepalo Federacinė Demokratinė Respublika","NP"
"NLD","Nyderlandų Karalystė","NL"
"NGA","Nigerijos Federacinė Respublika","NG"
"NER","Nigerio Respublika","NE"
"NIC","Nikaragvos Respublika","NI"
"NOR","Norvegijos Karalystė","NO"
"OMN","Omano Sultonatas","OM"
"PAK","Pakistano Islamo Respublika","PK"
"PSE","Palestina","PS"
"PAN","Panamos Respublika","PA"
"PNG","Papua Naujosios Gvinėjos Nepriklausomoji Valstybė","PG"
"PRY","Paragvajaus Respublika","PY"
"PER","Peru Respublika","PE"
"ZAF","Pietų Afrikos Respublika","ZA"
"KOR","Korėjos Respublika","KR"
"SSD","Pietų Sudano Respublika","SS"
"PRT","Portugalijos Respublika","PT"
"FRA","Prancūzijos Respublika","FR"
"GNQ","Pusiaujo Gvinėjos Respublika","GQ"
"TLS","Rytų Timoro Demokratinė Respublika","TL"
"RWA","Ruandos Respublika","RW"
"ROU","Rumunija","RO"
"RUS","Rusijos Federacija","RU"
"GEO","Sakartvelas","GE"
"SLB","Saliamono Salos","SB"
"SLV","Salvadoro Respublika","SV"
"WSM","Samoa Nepriklausomoji Valstybė","WS"
"SMR","San Marino Respublika","SM"
"STP","San Tomė ir Prinsipės Demokratinė Respublika","ST"
"SAU","Saudo Arabijos Karalystė","SA"
"SYC","Seišelių Respublika","SC"
"SEN","Senegalo Respublika","SN"
"KNA","Sent Kitsas ir Nevis","KN"
"LCA","Sent Lusija","LC"
"VCT","Sent Vinsentas ir Grenadinai","VC"
"SRB","Serbijos Respublika","RS"
"SLE","Siera Leonės Respublika","SL"
"SGP","Singapūro Respublika","SG"
"SYR","Sirijos Arabų Respublika","SY"
"SVK","Slovakijos Respublika","SK"
"SVN","Slovėnijos Respublika","SI"
"SOM","Somalio Federacinė Respublika","SO"
"SDN","Sudano Respublika","SD"
"FIN","Suomijos Respublika","FI"
"SUR","Surinamo Respublika","SR"
"PRK","Korėjos Liaudies Demokratinė Respublika","KP"
"MKD","Šiaurės Makedojinos Respublika","MK"
"LKA","Šri Lankos Demokratinė Socialistinė Respublika","LK"
"SWE","Švedijos Karalystė","SE"
"CHE","Šveicarijos Konfederacija","CH"
"TJK","Tadžikistano Respublika","TJ"
"THA","Tailando Karalystė","TH"
"TZA","Tanzanijos Jungtinė Respublika","TZ"
"TGO","Togo Respublika","TG"
"TON","Tongos Karalystė","TO"
"TTO","Trinidado ir Tobago Respublika","TT"
"TUN","Tuniso Respublika","TN"
"TUR","Turkijos Respublika","TR"
"TKM","Turkmėnistanas","TM"
"TUV","Tuvalu","TV"
"UGA","Ugandos Respublika","UG"
"UKR","Ukraina","UA"
"URY","Urugvajaus Rytų Respublika","UY"
"UZB","Uzbekistano Respublika","UZ"
"VUT","Vanuatu Respublika","VU"
"VAT","Šventasis Sostas; Vatikano Miesto Valstybė","VA"
"VEN","Venesuelos Bolivaro Respublika","VE"
"HUN","Vengrija","HU"
"VNM","Vietnamo Socialistinė Respublika","VN"
"DEU","Vokietijos Federacinė Respublika","DE"
"ZMB","Zambijos Respublika","ZM"
"ZWE","Zimbabvės Respublika","ZW"
"CPV","Žaliojo Kyšulio Respublika","CV"
